單位名稱,買進金額,賣出金額,買賣差額,Unnamed: 4
自營商(自行買賣),"6,724,307,138","9,571,725,265","-2,847,418,127",
自營商(避險),"27,857,201,052","31,258,252,432","-3,401,051,380",
投信,"7,334,311,821","9,309,527,364","-1,975,215,543",
外資及陸資(不含外資自營商),"220,004,269,329","236,353,038,612","-16,348,769,283",
外資自營商,0,0,0,
合計,"261,920,089,340","286,492,543,673","-24,572,454,333",
說明:,,,,
自營商表示證券自營商專戶。,,,,
投信表示本國投資信託基金。,,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,,
本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。,,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,,
本統計資訊投信部分不含當日綜合帳戶買賣金額。,,,,
不加計外幣交易證券交易金額。,,,,
