日期,假日名稱,說明,備註
2021/01/01,中華民國開國紀念日,依規定放假1日。,
2021/01/04,國曆新年開始交易日,國曆新年開始交易。,o
2021/02/05,農曆春節前最後交易日,農曆春節前最後交易。,o
2021/02/08,農曆春節前最後交易日,2月8日市場無交易，僅辦理結算交割作業。,*
2021/02/09,農曆春節前最後交易日,2月9日市場無交易，僅辦理結算交割作業。,*
2021/02/10,農曆除夕前一日,2月10日（星期三）調整放假，於2月20日（星期六）補行上班，但不交易亦不交割。,
2021/02/11,農曆除夕,依規定放假1日。,
2021/02/12,農曆春節,依規定放假1日。,
2021/02/13,農曆春節,依規定放假1日。,
2021/02/14,農曆春節,依規定放假1日。,
2021/02/15,農曆春節,2月13日及2月14日適逢星期六及日，2月15日（星期一）及2月16日（星期二）補假1日。,
2021/02/16,農曆春節,2月13日及2月14日適逢星期六及日，2月15日（星期一）及2月16日（星期二）補假1日。,
2021/02/17,農曆春節後開始交易日,農曆春節後開始交易。,o
2021/02/28,和平紀念日,依規定放假1日。,
2021/03/01,和平紀念日,2月28日適逢星期日，3月1日（星期一）補假1日。,
2021/04/02,兒童節 民族掃墓節,因兒童節與民族掃墓節為同一日(4月4日)且適逢星期日，於前一日4月2日（星期五）放假1日，且4月5日（星期一）補假1日。,
2021/04/03,兒童節 民族掃墓節,依規定放假1日。,
2021/04/04,兒童節 民族掃墓節,兒童節 民族掃墓節依規定放假1日。,
2021/04/05,兒童節 民族掃墓節,因兒童節與民族掃墓節為同一日(4月4日)且適逢星期日，於前一日4月2日（星期五）放假1日，且4月5日（星期一）補假1日。,
2021/04/30,勞動節,5月1日適逢星期六，4月30日（星期五）補假1日。,
2021/05/01,勞動節,依規定放假1日。,
2021/06/14,端午節,依規定放假1日。,
2021/09/20,中秋節,9月20日（星期一）調整放假，於9月11日（星期六）補行上班，但不交易亦不交割。,
2021/09/21,中秋節,依規定放假1日。,
2021/10/10,國慶日,依規定放假1日。,
2021/10/11,國慶日,10月10日適逢星期日，10月11日（星期一）補假1日。,
2021/12/31,中華民國開國紀念日,111年1月1日適逢星期六，110年12月31日（星期五）補假1日。,
